Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
67	7794.5283	129.55493	7999.55	7662.2207	8262.5	132.1092	8547.255	8113.878	1000.0	1000.0	335000	609.7545	127.65722	731.53613	-311.2053	609.7541	127.6574	734.86194	-313.38025	-612.34204	57.125076	5248.487025976181
68	7882.7695	193.65033	8112.0557	7619.8467	7867.5444	90.573044	8015.607	7679.709	1000.0	1000.0	340000	612.19275	127.19045	734.9412	-322.5974	612.19354	127.18885	732.4765	-301.7211	-614.5229	56.340538	5324.900355815887
69	7856.536	172.78387	8159.4443	7620.537	8302.92	96.67135	8467.63	8165.236	1000.0	1000.0	345000	614.8003	126.962494	737.8329	-289.02042	614.7999	126.96514	737.69196	-292.6956	-617.1287	57.03998	5394.521945953369
70	7825.832	79.85856	7915.5874	7719.531	8266.044	141.99649	8530.875	8014.23	1000.0	1000.0	350000	617.02136	127.458916	739.5816	-299.61072	617.0216	127.45695	745.2977	-296.74304	-619.3961	59.595787	5474.285518884659
71	7689.7437	178.3008	7854.294	7360.4053	8020.992	221.6105	8494.942	7706.9307	1000.0	1000.0	355000	619.38495	127.061356	743.13043	-298.14783	619.38477	127.06254	744.8926	-297.6935	-621.9468	57.840874	5551.452023029327
72	7905.1533	193.47115	8200.316	7614.117	7950.1826	178.25322	8354.6	7785.715	1000.0	1000.0	360000	621.7223	125.94956	743.53314	-288.12698	621.7228	125.94919	744.2002	-280.01758	-623.9927	58.016975	5631.451135158539
73	7948.6313	140.68666	8081.152	7759.832	8491.342	186.59315	8661.774	8037.324	1000.0	1000.0	365000	624.10693	125.49831	742.409	-323.5418	624.10724	125.49828	742.62146	-312.33987	-626.4602	56.294262	5708.378221035004
74	7963.88	197.86984	8278.3955	7668.783	8365.205	96.02585	8522.082	8161.0923	1000.0	1000.0	370000	625.9038	125.45513	750.16235	-329.11353	625.9041	125.45626	747.6574	-326.21872	-628.0352	54.816925	5786.110749006271
75	8052.8477	134.1395	8252.947	7878.8057	8420.411	136.76736	8677.184	8204.359	1000.0	1000.0	375000	627.8558	126.27582	750.25494	-316.83405	627.8554	126.27688	748.52576	-314.6525	-630.1292	55.299343	5857.104039907455
76	7982.6367	262.85526	8324.288	7520.1294	8420.293	204.84558	8660.198	7949.9688	1000.0	1000.0	380000	629.7751	126.793755	750.94165	-302.66278	629.7756	126.7943	750.566	-302.1554	-632.19763	56.535374	5932.740033149719
77	7860.8228	228.37485	8080.109	7430.7397	8196.962	94.49003	8365.213	8049.539	1000.0	1000.0	385000	632.6312	125.50489	752.8499	-306.71613	632.632	125.50377	752.8314	-311.9884	-634.91473	55.232513	6013.694625139236
78	7946.759	249.21625	8183.942	7465.57	8438.58	101.039055	8545.397	8241.074	1000.0	1000.0	390000	633.7949	126.56899	757.5492	-313.7132	633.7954	126.56741	755.6004	-323.6769	-636.25507	56.729164	6091.278687000275
79	8105.9053	150.81259	8387.913	7949.417	8598.018	86.036835	8704.843	8470.28	1000.0	1000.0	395000	636.13556	125.97727	757.1471	-304.30966	636.13574	125.978096	758.25226	-296.0616	-638.2722	56.162987	6174.495503902435
80	8033.651	205.94473	8301.184	7816.417	8121.169	106.048515	8256.864	7902.923	1000.0	1000.0	400000	638.33966	125.44251	757.8136	-297.91534	638.33966	125.443115	757.7372	-301.36115	-640.7088	57.34364	6250.212178945541
81	8120.276	238.5348	8393.639	7824.3584	8241.634	169.09256	8539.208	7943.6543	1000.0	1000.0	405000	640.1585	125.30444	760.2112	-276.3083	640.15936	125.306625	758.1222	-282.33224	-642.16016	55.47491	6327.372956037521
82	8088.5493	118.552895	8246.515	7919.4917	8538.752	113.46975	8800.559	8331.421	1000.0	1000.0	410000	641.7643	124.30192	764.4057	-262.8296	641.7645	124.301636	764.00195	-239.28207	-644.0847	55.603806	6397.2544457912445
83	8103.8516	131.40317	8246.25	7867.6543	8647.371	173.95259	8988.759	8383.185	1000.0	1000.0	415000	643.7382	124.08195	766.9543	-253.71507	643.73804	124.08379	769.13806	-245.53244	-645.9515	55.40434	6478.982547998428
84	8101.4844	113.46091	8172.966	7876.2715	8531.718	109.29738	8730.723	8344.261	1000.0	1000.0	420000	646.24005	122.65246	772.185	-250.17163	646.2411	122.65226	771.5052	-245.77634	-648.5999	58.1215	6556.159489154816
85	8191.004	81.16706	8330.971	8078.179	7513.7275	307.51337	8010.8975	7025.8257	1000.0	1000.0	425000	648.3105	122.36655	772.30646	-247.6869	648.31104	122.368385	772.03186	-256.0132	-650.8017	55.54405	6637.96470785141
86	8014.8516	435.90665	8276.154	7146.953	8323.674	123.67439	8549.555	8195.871	1000.0	1000.0	430000	650.2136	122.11534	775.0333	-253.12701	650.214	122.115585	776.07544	-241.37607	-652.5725	54.977776	6714.393662929535
